Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 940 , size[23][2] = 444 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 943 , size[23][2] = 445 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 946 , size[23][2] = 446 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 949 , size[23][2] = 447 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 952 , size[23][2] = 448 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 955 , size[23][2] = 449 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 958 , size[23][2] = 450 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 961 , size[23][2] = 451 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 964 , size[23][2] = 452 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 967 , size[23][2] = 453 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 970 , size[23][2] = 454 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 973 , size[23][2] = 455 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 976 , size[23][2] = 456 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 979 , size[23][2] = 457 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 982 , size[23][2] = 458 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 985 , size[23][2] = 459 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 988 , size[23][2] = 460 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 991 , size[23][2] = 461 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 994 , size[23][2] = 462 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 997 , size[23][2] = 463 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1000 , size[23][2] = 464 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1003 , size[23][2] = 465 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1006 , size[23][2] = 466 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1009 , size[23][2] = 467 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1012 , size[23][2] = 468 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1015 , size[23][2] = 469 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1018 , size[23][2] = 470 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1021 , size[23][2] = 471 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1024 , size[23][2] = 472 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1027 , size[23][2] = 473 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1030 , size[23][2] = 474 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1033 , size[23][2] = 475 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1036 , size[23][2] = 476 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1039 , size[23][2] = 477 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1042 , size[23][2] = 478 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1045 , size[23][2] = 479 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1048 , size[23][2] = 480 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1051 , size[23][2] = 481 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1054 , size[23][2] = 482 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1057 , size[23][2] = 483 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1060 , size[23][2] = 484 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1063 , size[23][2] = 485 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1066 , size[23][2] = 486 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1069 , size[23][2] = 487 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1072 , size[23][2] = 488 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1075 , size[23][2] = 489 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1078 , size[23][2] = 490 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1081 , size[23][2] = 491 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1084 , size[23][2] = 492 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1087 , size[23][2] = 493 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1090 , size[23][2] = 494 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1093 , size[23][2] = 495 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1096 , size[23][2] = 496 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1099 , size[23][2] = 497 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1102 , size[23][2] = 498 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1105 , size[23][2] = 499 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1108 , size[23][2] = 500 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1111 , size[23][2] = 501 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1114 , size[23][2] = 502 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1117 , size[23][2] = 503 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1120 , size[23][2] = 504 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1123 , size[23][2] = 505 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1126 , size[23][2] = 506 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 1129 , size[23][2] = 507 
